unixtime,posx,posy,posz,velx,vely,velz,q1,q2,q3,q4
1775181304.386447,-111069561.0759,-60364347.54225,-34798065.78698,-7622.0,-10270.0,-5695.0,-0.05656980350614,-0.2206301689148,0.5059499144554,0.8319476246834
1775181365.731548,-111533205.7039,-60990176.25691,-35145012.91295,-7580.0,-10250.0,-5681.0,-0.05191642791033,-0.2178410589695,0.5083904266357,0.8314981460571
1775181427.351646,-112001842.8382,-61624838.65731,-35496825.94184,-7538.0,-10230.0,-5668.0,-0.04695196449757,-0.2149445414543,0.5100751519203,0.8315153121948
1775181487.452015,-112452890.5171,-62237666.98984,-35836506.05728,-7498.0,-10200.0,-5655.0,-0.04261265695095,-0.2121446281672,0.5118369460106,0.8313854336739
1775181548.336761,-112908997.6387,-62859349.18663,-36181064.32011,-7458.0,-10180.0,-5642.0,-0.03812749683857,-0.2076616734266,0.5123530626297,0.8324165344238
1775181608.352365,-113355239.8821,-63469510.11682,-36519208.57886,-7418.0,-10160.0,-5630.0,-0.03372943773866,-0.2046605497599,0.5119512677193,0.8335959911346
1775181669.45665,-113806524.4496,-64088500.0373,-36862217.22259,-7379.0,-10140.0,-5617.0,-0.03347724303603,-0.2058565616608,0.5109411478043,0.8339313268661
1775181729.430592,-114248083.2198,-64696033.45131,-37198849.49263,-7341.0,-10120.0,-5605.0,-0.03349264338613,-0.2065959572792,0.5094125270844,0.8346827030182
1775181790.352297,-114694666.499,-65312371.48927,-37540332.75466,-7302.0,-10090.0,-5592.0,-0.03234643861651,-0.2085535824299,0.5049260854721,0.8369640111923
1775181850.405211,-115131660.2736,-65917313.22318,-37875475.00731,-7265.0,-10070.0,-5580.0,-0.03216560930014,-0.2082951515913,0.5047817826271,0.8371223807335
1775181911.3748,-115573661.3143,-66531033.54722,-38215453.65099,-7228.0,-10050.0,-5568.0,-0.03161632269621,-0.2085772901773,0.5107450485229,0.833447933197
1775181972.570031,-116013395.7182,-67143447.01548,-38554682.39995,-7191.0,-10030.0,-5555.0,-0.05996649339795,-0.2024682760239,0.3198612332344,0.923633813858
1775182033.449448,-116450855.1235,-67754514.5622,-38893138.12508,-7154.0,-10010.0,-5543.0,-0.03121272101998,-0.1896270662546,0.07132382690907,0.9787646532059
1775182093.43475,-116879020.1188,-68354358.38513,-39225350.90326,-7119.0,-9988.0,-5531.0,0.008615654893219,-0.150286629796,-0.1765403300524,0.9727143645287
1775182154.616399,-117312154.4045,-68962934.21199,-39562374.82813,-7083.0,-9967.0,-5519.0,0.07076798379421,-0.08990241587162,-0.2535675466061,0.9605274200439
1775182215.34733,-117743130.4408,-69570241.04101,-39898671.03553,-7048.0,-9946.0,-5508.0,0.05839768797159,-0.04615957662463,-0.2504466772079,0.9652644395828
1775182337.509013,-118598708.904,-70781082.64526,-40569101.59917,-6979.0,-9905.0,-5484.0,0.02079623751342,-0.05297063291073,-0.2459535747766,0.9676096439362
1775182398.374916,-119023362.1927,-71384634.53972,-40903246.95196,-6945.0,-9885.0,-5472.0,-0.001483408617787,-0.06234270334244,-0.2434317022562,0.9679112434387
1775182459.413463,-119445957.6745,-71986952.16473,-41236685.32031,-6912.0,-9865.0,-5461.0,-0.01532631926239,-0.07351142913103,-0.2424584776163,0.9672513008118
1775182520.233406,-119866519.2898,-72588044.15713,-41569421.31851,-6878.0,-9845.0,-5449.0,-0.01345641445369,-0.08089576661587,-0.2431166619062,0.9665242433548
1775182581.38033,-120285070.7744,-73187918.89036,-41901460.15926,-6846.0,-9825.0,-5438.0,-0.01171889156103,-0.08753056824207,-0.2446157038212,0.9655901193619
1775182642.297055,-120701635.2237,-73786584.70546,-42232806.7954,-6813.0,-9805.0,-5427.0,-0.003041802672669,-0.09295614808798,-0.2476338297129,0.9643792510033
1775182703.393469,-121116235.4167,-74384049.76919,-42563466.10299,-6781.0,-9785.0,-5415.0,0.005625571124256,-0.09816913306713,-0.2512724399567,0.9629088044167
1775182764.388975,-121528893.6775,-74980322.15142,-42893442.94866,-6750.0,-9766.0,-5404.0,0.01384119689465,-0.1026121228933,-0.2556919753551,0.9611975550652
1775182825.38417,-121939631.9521,-75575409.6697,-43222742.21711,-6718.0,-9747.0,-5393.0,0.02204965613782,-0.1075998395681,-0.2605765461922,0.959185063839
1775182886.375903,-122348471.6745,-76169320.56451,-43551368.4492,-6687.0,-9727.0,-5382.0,0.03137426450849,-0.1124106049538,-0.2662043273449,0.9568253755569
1775183008.559573,-123160539.7657,-77353643.86639,-44206619.74389,-6626.0,-9689.0,-5360.0,0.04693891480565,-0.1215809509158,-0.2777769267559,0.9517640471458
1775183069.246331,-123563809.2149,-77944071.8218,-44533254.5179,-6597.0,-9670.0,-5350.0,0.05662638694048,-0.1250975728035,-0.2843810319901,0.9488263726234
1775183130.176518,-123965262.3765,-78533354.08003,-44859234.69745,-6567.0,-9652.0,-5339.0,0.06292689591646,-0.1229408383369,-0.2912240028381,0.9466331601143
1775183191.212838,-124364918.8958,-79121498.14886,-45184564.69634,-6538.0,-9633.0,-5328.0,0.06795950978994,-0.1194043681026,-0.2982271313667,0.9445552825928
1775183252.224261,-124762798.0803,-79708511.49695,-45509248.92328,-6509.0,-9615.0,-5318.0,0.07350789755583,-0.1152582764626,-0.3054877817631,0.9423318505287
1775183313.24354,-125158918.9772,-80294401.44538,-45833291.72021,-6480.0,-9596.0,-5307.0,0.06953073292971,-0.1133512929082,-0.3119016885757,0.9407626390457
1775183374.165197,-125553300.2122,-80879175.32667,-46156697.4182,-6452.0,-9578.0,-5297.0,0.06297131627798,-0.111233510077,-0.3177130520344,0.9395318627357
1775183435.235626,-125945960.0776,-81462840.40141,-46479470.37191,-6424.0,-9560.0,-5287.0,0.05931892246008,-0.1082566380501,-0.313048273325,0.9416807293892
1775183496.292671,-126336916.6367,-82045403.78449,-46801614.72504,-6396.0,-9542.0,-5276.0,0.05655309185386,-0.1034158691764,-0.3076042532921,0.9441856145859
1775183557.441013,-126726187.6287,-82626872.5331,-47123134.62254,-6368.0,-9524.0,-5266.0,0.05158169567585,-0.09922080487013,-0.3018335700035,0.9467793107033
1775183618.229352,-127113790.4604,-83207253.63994,-47444034.17634,-6341.0,-9506.0,-5256.0,0.04711801558733,-0.09503357112408,-0.2965583205223,0.9491057395935
